Activity
UiPath.Core.Activities.Click
UiPath.Core.Activities.SelectItem
UiPath.Core.Activities.TypeInto
UiPath.Core.Activities.Check
UiPath.Core.Activities.GetValue
UiPath.Core.Activities.GetAttribute
